State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Male Workers,Female Workers,Non Workers,Agricultural Workers,Household Workers,Rural Households,Urban Households,Households,LPG or PNG Households,Housholds with Electric Lighting,Households with Internet,Households with Computer,Primary Education,Secondary Education,Higher Education,Graduate Education,Households with Car Jeep Van,Ownership Owned Households,Ownership Rented Households,Sex ratio,Literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,1323667,2399901,275970,15422,1377,25510,617,748939,574728,1417572,484912,84661,597466,220248,817714,194954,566108,5512,45202,344167,225957,143143,100226,8338,559211,77594,100.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,2036166,3599372,443456,20463,932,341,1417,1208544,827622,2044982,879537,105343,902997,341431,1244428,223016,897970,8606,48299,720357,331793,162175,144915,9915,779195,172680,98.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,1933357,3737588,397870,24129,867,253,1322,1202223,731134,2240707,748093,57269,907970,395900,1303870,324406,944555,13763,67087,770836,548336,265199,246409,16296,815953,196720,100.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,2093681,4983330,77777,77825,738,413,4149,1545831,547850,3060615,1122046,57853,1199479,406362,1605841,479914,1297273,22411,93784,947606,521562,271809,263023,25381,1088823,278383,101.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,2381624,4217597,559770,89763,764,323,3282,1442370,939254,2506189,1227956,47436,1069877,513113,1582990,648568,1186028,19383,80434,845810,453446,246580,221924,17424,981115,276073,100.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,1413297,2046051,1713405,87522,11446,1268,19560,1045585,367712,2530026,23029,46157,0,1066289,1066289,581509,869721,149034,274653,596591,811501,517425,558090,124106,437146,422826,95.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,1876768,3491139,244723,24979,2086,332,312,1049463,827305,1899501,756859,168340,877236,288044,1165280,344667,926768,8831,46584,453505,463403,293493,256633,14175,823820,141432,101.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,1410062,2595321,158887,33463,655,217,459,802906,607156,1387308,804537,19799,669262,201363,870625,219710,668519,8628,42171,346118,238811,154774,160804,11887,616617,115379,101.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,2048880,4023678,307043,145598,1393,863,6320,1327299,721581,2468518,1006976,48444,909292,567042,1476334,632890,1163932,30438,101450,692968,531821,312753,328454,27969,863382,328243,99.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,2029425,3328380,670737,33165,737,255,2235,1164122,865303,2024038,1037302,60791,783853,306982,1090835,195001,816721,10081,56478,672951,271828,152453,115504,10622,710444,156505,99.0,52.0
